index,Tile_ID,Observer – 1,Observer – 2,Common
89,Aswcm7tile_52384_151682,3,2,2
90,Aswcm7tile_52384_152700,10,4,3
91,Aswcm7tile_52384_46828,4,3,2
92,Aswcm7tile_52384_47846,13,6,5
93,Aswcm7tile_52384_48864,10,1,0
94,Aswcm7tile_52384_50900,6,1,1
95,Aswcm7tile_52384_51918,2,1,1
96,Aswcm7tile_52384_52936,3,2,2
97,Aswcm7tile_52384_54972,6,4,4
98,Aswcm7tile_52384_55990,4,1,0
99,Aswcm7tile_52384_58026,2,2,0
100,Aswcm7tile_54021_152700,4,3,2
101,Aswcm7tile_54021_153718,15,5,4
102,Aswcm7tile_54021_154736,3,3,2
103,Aswcm7tile_54021_155754,6,1,1
104,Aswcm7tile_54021_45810,8,1,0
105,Aswcm7tile_54021_46828,3,2,1
106,Aswcm7tile_54021_48864,4,1,0
107,Aswcm7tile_54021_52936,6,3,0
108,Aswcm7tile_54021_53954,4,2,1
109,Aswcm7tile_54021_54972,7,2,2
110,Aswcm7tile_55658_155754,4,1,1
111,Aswcm7tile_55658_44792,2,1,0
112,Aswcm7tile_55658_47846,1,1,1
113,Aswcm7tile_55658_48864,7,2,2
114,Aswcm7tile_55658_49882,7,4,2
115,Aswcm7tile_55658_53954,11,2,2
116,Aswcm7tile_57295_51918,4,1,1
117,Aswcm7tile_57295_52936,9,1,0
118,Aswcm7tile_58932_161862,3,1,0
119,Aswcm7tile_58932_47846,7,5,3
120,Aswcm7tile_58932_48864,3,2,2
121,Aswcm7tile_58932_50900,6,2,2
122,Aswcm7tile_60569_46828,8,3,3
123,Aswcm7tile_60569_49882,5,1,0
124,Aswcm7tile_9822_152700,4,1,1
